category_id,views_fd,likes_fd,dislikes_fd,comment_count_fd,weekday_weekend,days_spent_trending
24,2131702,54280,4696,10705,1,30
10,981789,55917,616,3021,0,29
1,404162,17920,79,642,0,29
10,641944,72641,1133,4357,0,29
28,4700460,103430,8028,13293,1,29
26,1469627,188652,3124,33032,0,29
24,1199587,49709,2380,7261,0,29
10,916128,40485,1042,4746,0,28
1,4215671,161058,2198,10289,0,28
24,378105,19998,395,4483,0,28
24,5338017,316570,7536,17977,0,28
28,2809121,47709,1013,6563,0,28
10,650153,36573,601,3382,0,28
24,2766850,149643,15321,14195,0,28
1,3969429,409750,4750,25876,0,28
27,2310168,163576,1215,15744,1,28
23,688645,73735,466,23002,0,27
10,2822391,131909,5164,16487,0,27
24,3363529,21323,1706,3947,0,27
1,1383897,24799,590,3215,0,27
10,494211,28080,426,1644,1,27
26,1453931,105077,1188,9742,0,27
23,2422729,284436,926,44833,0,27
24,2227658,29191,1157,4092,1,27
28,1889200,70550,8044,6889,0,27
26,2567982,50065,2345,6732,1,27
10,3539843,384534,6164,38249,0,26
24,571665,31927,677,3308,0,26
20,6886948,285349,164004,115501,0,26
22,4803962,527245,2688,49369,0,25
10,31648454,1405355,51547,149473,1,25
26,412990,27737,240,1877,0,25
10,9761348,431053,23704,28656,0,25
26,821272,31857,761,2606,0,25
43,765531,18681,461,1444,0,25
24,832105,22873,834,1015,0,25
23,303848,9350,718,1074,0,25
20,1160074,64302,900,4373,1,25
24,347036,33351,648,6569,0,25
1,2593398,171087,2398,10330,1,25
10,2028625,129767,4658,14086,1,25
24,840489,46200,162,1307,0,25
24,3508880,39365,6892,4705,1,25
10,2599729,155834,2362,12472,0,25
22,739895,51050,297,3326,0,25
10,613222,16419,228,415,0,24
10,4221902,121043,5485,6521,0,24
24,747398,27204,346,2160,0,24
23,972531,27975,518,592,0,24
10,567903,34033,434,2081,0,24
22,1282470,184002,1195,17682,1,24
24,2448025,191301,2402,27017,0,24
22,164237,18528,276,877,0,24
24,2415639,41022,229,1649,1,23
19,456475,10561,337,1384,1,23
17,4914327,64003,4597,42198,0,23
10,183266,3960,92,321,0,23
10,3695099,241002,5177,13142,0,23
10,142019,4632,224,1043,0,23
24,1586893,122299,461,4740,0,23
22,3134765,88905,7526,26692,0,23
24,1140768,13919,1925,2424,0,23
24,7857491,292996,3637,22416,0,23
10,537139,25073,1264,1600,0,23
10,1567563,118202,2011,7722,0,23
15,619826,21749,507,1484,0,23
26,349475,16676,662,712,0,23
28,1286705,18550,3710,7008,1,23
27,937541,91201,658,4890,0,22
24,4523214,379796,4576,46295,1,22
25,1180574,20034,2623,2583,0,22
10,3533914,120231,2514,9908,0,22
10,3136189,104437,918,4035,0,22
10,1789595,207597,3548,14772,0,22
20,6142430,175223,6739,10127,0,22
10,388954,41427,214,2557,0,22
24,819933,33344,1020,4628,0,22
24,4425659,60880,1317,2859,0,22
15,479666,12024,245,1013,0,22
24,534602,8151,359,1539,0,22
20,1979840,112759,3990,8165,1,22
22,299499,16224,1195,3080,0,22
10,554371,92089,392,14170,0,22
1,1734907,8687,3474,2639,0,22
10,2331335,270705,4422,22329,0,22
24,306481,9863,675,2648,0,21
24,692796,16153,1807,2726,1,21
23,1921650,122958,2076,12142,0,21
10,4177468,251242,7743,11932,0,21
15,193072,1315,82,514,0,21
10,945426,25140,899,1676,0,21
26,500984,11024,534,1103,0,21
26,622467,47066,535,6177,1,21
23,653573,25366,767,2252,0,21
26,123820,6523,96,1417,0,21
26,327212,7308,222,513,0,21
10,798095,57776,1145,5990,0,21
24,319412,7975,168,678,0,21
26,1936401,88238,4747,11556,0,21
10,8426449,299855,4129,11674,0,21
10,12014269,497324,33525,30783,0,21
24,1362597,7518,324,484,0,21
23,303920,4269,216,346,0,21
24,585986,4546,337,668,0,21
27,1075751,44798,639,8444,0,21
28,871815,26722,788,2617,0,21
10,322518,59702,396,7265,0,21
15,141476,4148,123,619,0,21
10,15873034,1386616,40714,141630,0,20
10,1053828,99851,1226,5897,0,20
10,774948,55083,5804,10438,0,20
10,6978753,351687,25332,23914,0,20
24,283781,12936,173,708,0,20
24,1480054,64664,909,3594,0,20
26,124496,5122,126,824,0,20
20,652300,28397,1174,7428,0,20
10,169713,12074,185,453,0,20
10,4438121,178163,14779,12253,0,20
10,678094,25958,220,1197,0,20
10,352464,23895,134,1219,0,20
10,4545446,324323,6119,17357,0,20
1,5933727,90354,1903,6539,0,20
10,457170,23267,325,632,0,20
20,1723061,74501,2039,11920,0,20
24,844141,54602,283,1838,0,20
10,888505,75072,2419,5307,0,20
10,1023661,101975,1153,5218,0,20
20,204053,6092,1005,1033,0,20
20,875878,60686,715,13595,0,20
24,964945,10171,2411,3849,0,20
23,1882430,48906,2609,16344,0,19
24,419781,7782,248,700,0,19
10,222322,28332,192,2163,0,19
15,2058932,48542,888,6050,0,19
23,303797,3103,193,218,0,19
23,882847,45537,637,16839,0,19
1,271267,12573,398,2282,0,19
24,1172038,33885,807,13561,0,19
1,4629057,146753,2555,15411,0,19
22,1400683,36483,9049,8087,0,19
10,866303,19181,491,2238,0,19
24,812552,38264,390,3189,0,19
23,4455816,147871,2253,6824,0,19
10,287845,18478,794,685,0,19
10,2530830,467212,1591,31953,0,19
26,770356,40961,900,5188,0,19
23,657342,49069,689,5511,0,19
15,216581,13394,154,428,1,19
22,1685797,66931,31675,17821,1,19
10,7831865,477330,7317,27194,0,19
24,351553,8103,167,735,0,19
20,923655,81677,2985,15781,1,19
22,305956,11166,758,2439,1,19
24,27973210,850362,26541,96767,0,19
26,820015,48825,1288,9175,1,19
10,4196932,845029,1948,56047,1,18
24,179815,8016,703,1633,1,18
24,1349333,33031,4848,15491,1,18
26,1098295,78936,973,6757,0,18
10,3273218,140376,4955,6872,0,18
10,961594,119679,982,10888,0,18
10,2208587,179621,1515,14564,0,18
1,1391851,54147,1516,6256,0,18
20,4265080,136290,4735,11895,1,18
1,291287,20111,494,1042,1,18
1,9823890,278350,2335,21968,0,18
23,360571,20450,235,3159,0,18
1,1530796,45309,2876,5999,0,18
26,607802,43243,979,3654,1,18
20,1871511,78816,4779,23398,0,18
10,166235,9925,50,340,0,18
26,7566372,55220,6576,2667,1,18
22,3013754,152566,1682,17129,1,18
10,6045117,327734,5620,22878,0,18
24,5014788,102027,3310,11368,0,18
10,656393,25228,7287,7661,1,18
15,514544,24789,485,5930,1,18
25,358184,5854,4682,10274,0,18
22,712752,16982,724,1579,0,18
22,2783741,125003,1119,10555,0,18
17,905887,6584,802,2039,1,18
24,3724733,23442,1536,4125,1,18
24,18639195,511753,15606,32435,0,18
24,1034432,34874,3702,6677,1,18
10,559040,27423,625,2550,0,18
27,1945720,128539,1042,9111,1,18
27,653100,75284,2545,11921,0,18
24,968378,10636,7848,5829,1,18
10,1184750,113406,920,6543,0,18
10,2721293,245409,11419,21361,0,18
23,611611,34603,670,1614,1,18
22,868979,34262,509,2578,0,18
24,169569,16347,142,1819,0,18
22,2211726,92673,1185,4275,0,17
23,922312,48832,1995,10343,0,17
24,172804,1906,142,608,1,17
17,475754,8020,551,980,0,17
26,1623907,69688,1323,9155,0,17
25,1229852,14369,3873,2258,0,17
17,350771,10385,112,675,0,17
10,707608,103320,458,6460,0,17
23,512527,12977,603,915,0,17
22,398096,5585,385,650,0,17
10,636209,1769,117,489,0,17
28,1633011,38864,1320,3068,0,17
24,958445,63210,696,2143,0,17
24,679789,29684,457,2840,0,17
10,5907608,564182,8937,35155,0,17
1,1307660,58421,2603,10159,1,17
26,393466,23649,463,2100,0,17
24,1241998,65733,2797,10061,1,17
26,379756,5272,694,975,0,17
23,3467236,188920,2118,8454,0,17
24,350417,14896,655,4134,0,17
10,529440,30165,311,1116,0,17
25,1147233,13232,604,2984,0,17
24,740788,22562,161,1077,0,17
19,290559,9156,197,1383,1,17
10,1170800,69955,463,3313,0,17
24,11400708,112956,18662,10138,0,17
27,277150,12205,700,1323,0,17
23,1776298,118582,1424,10278,0,17
24,351950,5957,65,593,0,17
22,1738094,101092,724,14725,1,17
